Artist_Reputation,Weight,Material,Price_Of_Sculpture,Base_Shipping_Price,International,Express_Shipment,Installation_Included,Transport,Fragile,Customer_Information,Cost
High_Reputation,92.0,Aluminium,6.91,10.71,No,Yes,No,Airways,No,Wealthy,-304.57
Moderate_Reputation,349.0,Brass,5.81,13.32,No,Yes,No,Airways,No,Wealthy,-172.58
Low_Reputation,3003.0,Clay,5.54,11.85,No,No,No,Roadways,Yes,Working Class,-174.92
Low_Reputation,14.0,Aluminium,6.59,17.56,No,Yes,No,Airways,No,Wealthy,-157.16
Low_Reputation,27899.66926070039,Brass,6.26,17.66,Yes,No,No,Waterways,No,Working Class,-157.55
High_Reputation,403.0,Bronze,5.54,16.9,No,Yes,No,Roadways,No,Working Class,-398.86
Moderate_Reputation,16977.728997289974,Bronze,5.74,18.18,No,Yes,Yes,Airways,No,Working Class,-206.32
Moderate_Reputation,2091.0,Marble,9.62,11.95,No,No,No,Roadways,No,Working Class,-268.72
High_Reputation,65.0,Aluminium,3.07,18.17,No,No,Yes,Roadways,No,Working Class,-290.64
Low_Reputation,24675.0,Clay,56.86,29.79,No,Yes,No,Roadways,Yes,Wealthy,-818.83
Low_Reputation,753.0,Aluminium,4.41,19.31,No,No,No,Airways,No,Working Class,-146.3
Moderate_Reputation,25238.0,Bronze,89.21,48.93,No,No,No,Roadways,No,Wealthy,-1244.76
Low_Reputation,105.0,Clay,4.56,21.18,No,Yes,No,Roadways,Yes,Wealthy,-165.26
Moderate_Reputation,10374.0,Clay,17.87,45.38,Yes,No,No,Roadways,Yes,Working Class,-867.52
Low_Reputation,717.0,Aluminium,5.93,19.12,No,No,No,Roadways,No,Working Class,-129.89
High_Reputation,2240.0,Brass,10.21,17.03,Yes,No,No,Waterways,No,Working Class,-282.95
Low_Reputation,4722.0,Brass,6.31,14.58,Yes,Yes,Yes,Airways,No,Wealthy,-350.94
Moderate_Reputation,36.0,Brass,4.39,11.99,No,Yes,No,Roadways,No,Working Class,-161.67
Moderate_Reputation,71.0,Wood,6.19,23.35,No,Yes,No,Roadways,No,Working Class,-262.19
High_Reputation,337.0,Clay,6.28,20.26,Yes,No,Yes,Roadways,Yes,Wealthy,-533.03
Very_High_Reputation,715.0,Wood,3.06,22.82,Yes,Yes,No,Airways,No,Wealthy,-490.22
Moderate_Reputation,54822.0,Marble,47.39,38.87,No,Yes,Yes,Roadways,No,Wealthy,-836.99
Low_Reputation,79.0,Aluminium,3.8,18.51,No,Yes,No,Airways,No,Wealthy,-149.96
Moderate_Reputation,329.0,Aluminium,5.1,15.44,No,No,No,Roadways,No,Working Class,-248.06
Low_Reputation,2065.0,Bronze,5.36,14.94,No,No,No,Airways,No,Working Class,-155.85
Low_Reputation,896.0,Aluminium,3.83,15.43,No,No,No,Roadways,No,Working Class,-154.19
Low_Reputation,12953.0,Clay,7.08,53.85,No,No,Yes,Airways,Yes,Working Class,-475.45
Low_Reputation,16977.728997289974,Bronze,4.3,12.91,No,Yes,Yes,Roadways,No,Wealthy,-184.48
Low_Reputation,39956.0,Stone,56.62,59.6,No,No,Yes,Waterways,No,Working Class,-385.65
Moderate_Reputation,226.0,Marble,5.19,20.8,No,No,Yes,Roadways,No,Wealthy,-284.86
Low_Reputation,151.0,Wood,6.26,18.06,No,No,No,Roadways,No,Working Class,-120.5
Low_Reputation,16977.728997289974,Bronze,8.21,22.4,No,No,Yes,Roadways,No,Working Class,-251.1
Low_Reputation,26330.0,Marble,45.1,40.64,No,No,No,Roadways,No,Working Class,-388.38
High_Reputation,710.0,Brass,6.61,12.04,No,Yes,No,Airways,No,Working Class,-281.72
Low_Reputation,396.89110225763613,Wood,6.43,19.89,No,No,No,Airways,No,Working Class,-157.66
Moderate_Reputation,913.0,Wood,6.08,20.91,No,Yes,No,Airways,No,Wealthy,-498.1
Low_Reputation,643.0,Aluminium,6.84,22.08,No,No,Yes,Roadways,No,Wealthy,-195.11
Low_Reputation,619.0,Brass,3.63,23.25,No,No,Yes,Roadways,No,Working Class,-192.09
Low_Reputation,591.0,Wood,5.57,14.65,Yes,No,Yes,Airways,No,Working Class,-122.22
High_Reputation,163.0,Wood,3.14,17.36,No,No,Yes,Roadways,No,Working Class,-265.0
Low_Reputation,4113.0,Marble,20.84,16.5,No,No,Yes,Roadways,No,Working Class,-310.63
Moderate_Reputation,3829.0,Aluminium,8.16,14.61,No,Yes,Yes,Airways,No,Working Class,-560.24
High_Reputation,258.0,Wood,3.05,17.92,No,No,Yes,Roadways,No,Working Class,-442.52
High_Reputation,20185.0,Brass,25.68,37.38,No,Yes,No,Airways,No,Working Class,-1122.36
Moderate_Reputation,396.89110225763613,Wood,3.13,24.92,Yes,Yes,No,Airways,No,Working Class,-326.66
Moderate_Reputation,51019.0,Bronze,111.54,94.99,Yes,No,Yes,Waterways,No,Working Class,-1042.36
Low_Reputation,27899.66926070039,Brass,5.96,13.53,Yes,No,No,Airways,No,Working Class,-127.07
Moderate_Reputation,2933.0,Brass,6.02,13.8,Yes,No,No,Roadways,No,Wealthy,-351.12
High_Reputation,70.0,Wood,6.37,18.8,No,Yes,No,Airways,No,Working Class,-448.22
Moderate_Reputation,2548.0,Stone,10.14,10.77,No,No,Yes,Roadways,No,Working Class,-207.49
Moderate_Reputation,30515.0,Marble,37.73,72.63,No,Yes,No,Airways,No,Wealthy,-889.79
Moderate_Reputation,35.0,Wood,4.55,15.87,No,No,No,Roadways,No,Working Class,-155.39
High_Reputation,717.0,Aluminium,6.48,16.69,No,No,No,Waterways,No,Working Class,-133.82
Very_High_Reputation,123.0,Wood,4.28,22.25,Yes,No,Yes,Airways,No,Working Class,-705.98
High_Reputation,277.0,Aluminium,5.07,15.97,No,Yes,No,Roadways,No,Working Class,-290.65
Low_Reputation,5073.0,Aluminium,7.5,56.81,No,Yes,No,Roadways,No,Working Class,-247.25
Moderate_Reputation,9384.0,Brass,48.9,82.37,No,No,No,Roadways,No,Working Class,-919.77
Very_High_Reputation,137.0,Wood,5.78,10.81,No,No,No,Waterways,No,Working Class,-117.99
High_Reputation,1316.0,Marble,6.89,12.44,No,Yes,No,Roadways,No,Wealthy,-444.31
Moderate_Reputation,17246.0,Bronze,8.11,51.54,Yes,No,No,Waterways,No,Working Class,-540.52
Moderate_Reputation,109.0,Aluminium,3.59,21.2,No,No,No,Roadways,No,Wealthy,-179.24
Moderate_Reputation,18687.0,Brass,41.35,46.94,No,No,Yes,Roadways,No,Working Class,-700.89
Moderate_Reputation,2975.0,Wood,6.66,12.2,No,No,No,Roadways,No,Working Class,-240.33
High_Reputation,31917.0,Brass,145.44,25.87,No,No,No,Waterways,No,Working Class,-1036.57
Low_Reputation,1690.0,Aluminium,4.3,20.6,No,No,No,Roadways,No,Wealthy,-193.6
Low_Reputation,46.0,Wood,3.73,11.17,No,Yes,Yes,Airways,No,Wealthy,-96.27
Very_High_Reputation,814.0,Aluminium,5.11,14.92,No,No,No,Airways,No,Working Class,-574.95
High_Reputation,40.0,Aluminium,4.89,11.55,No,No,Yes,Roadways,No,Working Class,-177.79
Low_Reputation,311.0,Clay,6.87,13.16,Yes,No,No,Waterways,Yes,Wealthy,-167.14
Moderate_Reputation,16977.728997289974,Bronze,21.47,19.49,Yes,No,No,Waterways,No,Working Class,-290.32
Moderate_Reputation,5423.0,Brass,42.62,29.65,Yes,No,No,Airways,No,Working Class,-520.35
Moderate_Reputation,6297.0,Clay,21.75,27.38,No,No,No,Airways,Yes,Wealthy,-594.69
Moderate_Reputation,819.0,Aluminium,5.64,23.82,No,No,Yes,Roadways,No,Wealthy,-360.34
High_Reputation,41.0,Aluminium,4.54,13.28,Yes,No,No,Waterways,No,Working Class,-185.59
Moderate_Reputation,2288.0,Wood,5.84,11.46,Yes,Yes,No,Airways,No,Wealthy,-422.41
Moderate_Reputation,6152.0,Bronze,11.69,46.51,No,Yes,Yes,Airways,No,Wealthy,-722.84
Low_Reputation,63.0,Aluminium,3.63,10.34,No,Yes,No,Roadways,No,Wealthy,-174.39
Moderate_Reputation,696.0,Aluminium,6.22,19.18,Yes,Yes,Yes,Airways,No,Working Class,-361.49
Moderate_Reputation,467.0,Aluminium,3.63,13.62,Yes,No,No,Waterways,No,Wealthy,-211.36
Moderate_Reputation,3565.0,Bronze,26.09,20.35,No,No,Yes,Roadways,No,Working Class,-426.22
Moderate_Reputation,8020.0,Bronze,5.07,98.51,No,No,Yes,Airways,No,Working Class,-883.95
High_Reputation,243.0,Bronze,6.18,16.18,No,No,No,Waterways,No,Wealthy,-347.49
High_Reputation,198.0,Aluminium,5.05,17.76,No,Yes,Yes,Roadways,No,Wealthy,-583.83
Low_Reputation,4983.0,Marble,19.74,23.88,No,No,Yes,Roadways,No,Wealthy,-265.63
Moderate_Reputation,3563.0,Bronze,8.48,14.78,No,No,No,Roadways,No,Working Class,-240.42
Low_Reputation,1298.0,Marble,3.82,16.58,No,No,Yes,Roadways,No,Working Class,-172.61
Low_Reputation,2277.0,Clay,7.12,20.36,No,No,Yes,Waterways,Yes,Working Class,-251.3
Moderate_Reputation,2851.0,Bronze,3.61,20.96,No,Yes,No,Roadways,No,Wealthy,-236.11
Low_Reputation,161.0,Wood,3.89,22.57,No,Yes,No,Roadways,No,Working Class,-158.81
Moderate_Reputation,834.0,Bronze,6.94,16.57,No,No,No,Roadways,No,Wealthy,-196.81
Low_Reputation,484.0,Wood,6.28,20.63,Yes,No,No,Waterways,No,Working Class,-150.22
Moderate_Reputation,858.0,Bronze,4.99,12.26,No,No,Yes,Waterways,No,Working Class,-172.02
Low_Reputation,14.0,Bronze,4.22,10.44,Yes,No,Yes,Waterways,No,Working Class,-126.3
Low_Reputation,1351.5868187579215,Aluminium,5.99,15.45,No,No,No,Roadways,No,Working Class,-134.46
Low_Reputation,195.0,Clay,5.89,14.45,Yes,No,No,Waterways,Yes,Working Class,-146.21
Low_Reputation,4239.0,Stone,4.42,18.7,No,No,No,Airways,No,Working Class,-202.47
Low_Reputation,5630.0,Bronze,7.36,34.62,No,No,Yes,Airways,No,Working Class,-299.16
Very_High_Reputation,433.0,Aluminium,5.35,17.66,No,Yes,Yes,Airways,No,Working Class,-615.75
Moderate_Reputation,25336.0,Brass,58.33,93.01,No,Yes,No,Roadways,No,Working Class,-918.76
Low_Reputation,180.0,Wood,3.75,24.08,No,No,No,Waterways,No,Working Class,-152.62
Very_High_Reputation,335.0,Wood,4.89,19.87,No,No,No,Waterways,No,Working Class,-568.73
Low_Reputation,653.0,Clay,5.73,19.16,No,No,No,Roadways,Yes,Working Class,-179.03
Low_Reputation,1049.0,Brass,4.91,14.65,Yes,No,No,Waterways,No,Working Class,-144.9
Moderate_Reputation,382.0,Wood,3.04,22.96,No,No,Yes,Roadways,No,Working Class,-343.24
Low_Reputation,317.0,Aluminium,4.31,15.61,No,No,No,Roadways,No,Wealthy,-122.98
Moderate_Reputation,9019.0,Brass,18.3,95.98,Yes,No,No,Waterways,No,Working Class,-786.55
Moderate_Reputation,13013.0,Brass,34.49,81.55,No,No,No,Roadways,No,Working Class,-734.73
Low_Reputation,29497.0,Stone,20.45,25.84,No,No,No,Roadways,No,Working Class,-252.4
High_Reputation,1996.0,Clay,13.05,17.95,No,Yes,No,Airways,Yes,Wealthy,-530.25
High_Reputation,142.0,Clay,6.46,19.95,No,No,No,Waterways,Yes,Working Class,-290.21
High_Reputation,731.0,Brass,5.22,21.93,Yes,No,Yes,Waterways,No,Working Class,-308.86
Moderate_Reputation,4605.0,Brass,11.09,23.94,No,No,No,Roadways,No,Working Class,-357.31
Moderate_Reputation,56.0,Bronze,6.84,19.52,No,No,No,Roadways,No,Wealthy,-166.08
High_Reputation,1079.0,Brass,4.77,24.78,No,Yes,No,Airways,No,Working Class,-338.16
Moderate_Reputation,1194.0,Aluminium,6.9,24.08,Yes,No,No,Waterways,No,Wealthy,-451.44
Very_High_Reputation,3055.0,Aluminium,5.7,22.77,No,No,No,Roadways,No,Wealthy,-336.42
High_Reputation,1270.0,Aluminium,8.19,11.67,No,No,No,Airways,No,Working Class,-452.77
Low_Reputation,86.0,Bronze,6.74,14.52,Yes,No,Yes,Waterways,No,Working Class,-130.11
High_Reputation,2088.0,Clay,4.02,20.7,No,No,No,Roadways,Yes,Working Class,-524.64
Moderate_Reputation,438.0,Aluminium,5.52,14.46,No,Yes,Yes,Roadways,No,Working Class,-182.11
High_Reputation,1351.5868187579215,Aluminium,17.7,21.5,No,No,No,Roadways,No,Working Class,-577.34
Moderate_Reputation,14551.0,Brass,19.49,95.69,Yes,No,Yes,Waterways,No,Working Class,-834.86
Moderate_Reputation,2106.0,Marble,4.45,12.19,No,No,Yes,Waterways,No,Working Class,-229.54
Moderate_Reputation,37228.0,Bronze,120.2,58.48,No,Yes,No,Airways,No,Working Class,-1166.06
Low_Reputation,923.0,Clay,6.72,13.12,No,No,No,Roadways,Yes,Wealthy,-124.04
Moderate_Reputation,1351.5868187579215,Aluminium,10.71,17.49,No,No,No,Roadways,No,Working Class,-872.08
High_Reputation,137.0,Clay,4.2,15.73,No,No,Yes,Roadways,Yes,Working Class,-346.45
High_Reputation,630.0,Brass,3.84,11.21,Yes,No,No,Waterways,No,Working Class,-203.24
Very_High_Reputation,526.0,Wood,4.57,24.8,Yes,No,No,Waterways,No,Working Class,-553.43
Low_Reputation,16977.728997289974,Bronze,6.28,24.08,No,No,Yes,Roadways,No,Wealthy,-191.38
Moderate_Reputation,733.0,Aluminium,5.91,15.37,No,No,Yes,Roadways,No,Working Class,-208.69
Low_Reputation,18323.0,Brass,14.34,65.75,No,No,No,Roadways,No,Working Class,-432.13
Low_Reputation,8108.0,Aluminium,33.89,64.26,No,No,Yes,Roadways,No,Working Class,-538.58
High_Reputation,266.0,Clay,3.77,14.95,Yes,No,No,Waterways,Yes,Working Class,-218.64
Low_Reputation,488.0,Aluminium,3.48,10.96,No,No,Yes,Roadways,No,Working Class,-145.99
Moderate_Reputation,2546.0,Aluminium,9.19,21.24,No,Yes,Yes,Airways,No,Working Class,-721.14
Low_Reputation,22082.0,Brass,33.04,77.37,No,Yes,No,Roadways,No,Working Class,-417.57
High_Reputation,446.0,Bronze,3.13,22.89,No,No,Yes,Roadways,No,Working Class,-362.0
High_Reputation,4022.0,Stone,28.44,12.45,Yes,Yes,No,Airways,No,Working Class,-374.95
High_Reputation,700.0,Clay,4.7,15.52,No,No,No,Waterways,Yes,Working Class,-315.2
Moderate_Reputation,9069.0,Brass,13.44,87.61,Yes,No,No,Roadways,No,Working Class,-753.04
Moderate_Reputation,1362.0,Brass,3.54,11.19,No,Yes,No,Roadways,No,Wealthy,-349.52
High_Reputation,12378.0,Brass,38.88,59.51,No,No,Yes,Roadways,No,Working Class,-1105.75
Very_High_Reputation,671.0,Clay,3.51,11.5,No,Yes,No,Roadways,Yes,Working Class,-377.68
Moderate_Reputation,2715.0,Bronze,11.51,16.57,Yes,No,No,Airways,No,Wealthy,-236.37
Low_Reputation,8694.0,Stone,18.57,52.09,No,No,No,Roadways,No,Wealthy,-425.09
Moderate_Reputation,3427.5422818791944,Clay,3.04,22.96,No,Yes,No,Roadways,Yes,Working Class,-296.76
Moderate_Reputation,1234.0,Clay,3.43,23.63,Yes,Yes,No,Airways,Yes,Working Class,-355.58
Moderate_Reputation,3684.0,Aluminium,16.84,23.32,No,No,No,Roadways,No,Working Class,-266.74
High_Reputation,26.0,Wood,6.48,13.47,No,Yes,Yes,Roadways,No,Working Class,-269.14
Low_Reputation,34.0,Wood,3.34,15.53,No,No,Yes,Roadways,No,Working Class,-112.51
Moderate_Reputation,3432.0,Bronze,15.57,23.56,Yes,No,No,Waterways,No,Working Class,-223.58
Low_Reputation,8880.0,Brass,32.83,56.29,No,Yes,Yes,Roadways,No,Working Class,-540.11
Low_Reputation,1393.0,Wood,3.21,21.2,No,Yes,Yes,Roadways,No,Wealthy,-276.44
